R2 = 1.0985521377696725
K1 = 0.03012749637532397
K2 = 0.479182121893417
M  = 7.80377166674952
T  = 358.6682869216584
-1.325843572616577148e+00 0.000000000000000000e+00
-1.325958371162414551e+00 2.764408849179744720e-02
-1.325027227401733398e+00 5.871681869029998779e-02
-1.323935151100158691e+00 9.348271787166595459e-02
-1.321715116500854492e+00 1.319117546081542969e-01
-1.318740606307983398e+00 1.741615384817123413e-01
-1.314450979232788086e+00 2.200956791639328003e-01
-1.308852910995483398e+00 2.696968615055084229e-01
-1.301636219024658203e+00 3.227745294570922852e-01
-1.292693972587585449e+00 3.791812658309936523e-01
-1.281840920448303223e+00 4.386880993843078613e-01
-1.268964529037475586e+00 5.010718107223510742e-01
-1.253933548927307129e+00 5.660620331764221191e-01
-1.236694335937500000e+00 6.334208846092224121e-01
-1.217185854911804199e+00 7.028848528861999512e-01
-1.195365548133850098e+00 7.741869091987609863e-01
-1.171211719512939453e+00 8.470644354820251465e-01
-1.144721508026123047e+00 9.212616682052612305e-01
-1.115905761718750000e+00 9.965291619300842285e-01
-1.084796428680419922e+00 1.072638392448425293e+00
-1.051421999931335449e+00 1.149350881576538086e+00
-1.015844225883483887e+00 1.226478815078735352e+00
-9.781201481819152832e-01 1.303832173347473145e+00
-9.382991194725036621e-01 1.381209135055541992e+00
-8.964641094207763672e-01 1.458483338356018066e+00
-8.526892662048339844e-01 1.535530209541320801e+00
-8.070377111434936523e-01 1.612216234207153320e+00
-7.595790028572082520e-01 1.688443660736083984e+00
-7.103846073150634766e-01 1.764149546623229980e+00
-6.595240831375122070e-01 1.839306116104125977e+00
-6.070533990859985352e-01 1.913885831832885742e+00
-5.530225038528442383e-01 1.987886428833007812e+00
-4.974682033061981201e-01 2.061302661895751953e+00
-4.404211640357971191e-01 2.134155035018920898e+00
-3.818997442722320557e-01 2.206455230712890625e+00
-3.219208717346191406e-01 2.278280019760131836e+00
-2.604801356792449951e-01 2.349598407745361328e+00
-1.975848823785781860e-01 2.420592308044433594e+00
-1.332094967365264893e-01 2.491050720214843750e+00
-6.735945492982864380e-02 2.561503171920776367e+00
0.000000000000000000e+00 2.630605697631835938e+00
