step time wall-clock mass x-mom y-mom z-mom energy L2 mass-balance
    860 1.424702e-03 5.374000e+00 5.015000e+05 3.955965e+08 5.571869e+08 0.000000e+00 1.878765e+12 5.885462e+12 3.053567e+02
    880 1.450085e-03 5.480000e+00 3.824550e+05 3.796242e+08 4.454702e+08 0.000000e+00 1.434306e+12 4.912852e+12 2.716684e+01
    900 1.471240e-03 5.749000e+00 8.810646e+05 3.153369e+09 5.554920e+08 0.000000e+00 1.267631e+13 2.582171e+13 1.500975e+02
    920 1.496931e-03 5.876000e+00 5.801166e+05 1.530944e+09 3.079915e+08 0.000000e+00 4.452785e+12 1.012730e+13 3.574673e+02
    940 1.524668e-03 6.027000e+00 2.748113e+05 5.974993e+08 2.916899e+08 0.000000e+00 1.653729e+12 6.012055e+12 4.686118e+02
    960 1.553170e-03 6.143000e+00 2.643087e+05 4.181170e+08 2.698407e+08 0.000000e+00 1.147966e+12 4.854277e+12 5.788095e+02
    980 1.581942e-03 6.258000e+00 2.314341e+05 3.633130e+08 2.480385e+08 0.000000e+00 7.942025e+11 4.116709e+12 6.757050e+02
   1000 1.611411e-03 6.365000e+00 2.329256e+05 3.113264e+08 2.829014e+08 0.000000e+00 8.090563e+11 3.475885e+12 7.471262e+02
   1020 1.641552e-03 6.469000e+00 4.299942e+05 1.192292e+09 2.468842e+08 0.000000e+00 2.446730e+12 3.987998e+12 8.694809e+02
   1040 1.672042e-03 6.574000e+00 2.458434e+05 6.110014e+08 2.358754e+08 0.000000e+00 1.321138e+12 3.353136e+12 9.961555e+02
   1060 1.702821e-03 6.689000e+00 3.583083e+05 9.676671e+08 1.593716e+08 0.000000e+00 1.714872e+12 3.026236e+12 8.511452e+02
   1080 1.733588e-03 6.820000e+00 1.645350e+05 5.324669e+08 1.700816e+08 0.000000e+00 1.120790e+12 2.355143e+12 1.350901e+02
   1100 1.764359e-03 6.958000e+00 1.207225e+05 3.400914e+08 1.489220e+08 0.000000e+00 5.434969e+11 1.867107e+12 2.657488e+01
   1120 1.794991e-03 7.063000e+00 6.679657e+04 1.155235e+08 1.260557e+08 0.000000e+00 3.083108e+11 1.300693e+12 4.423201e+02
   1140 1.825372e-03 7.166000e+00 6.079586e+04 1.086033e+08 1.058112e+08 0.000000e+00 2.779990e+11 1.003808e+12 8.169742e+02
   1160 1.855450e-03 7.269000e+00 4.175512e+04 6.672160e+07 7.439574e+07 0.000000e+00 1.816083e+11 7.640169e+11 1.107594e+03
   1180 1.885257e-03 7.373000e+00 3.564264e+04 6.846154e+07 6.106718e+07 0.000000e+00 1.530825e+11 6.366642e+11 1.221770e+03
   1200 1.914866e-03 7.475000e+00 3.000687e+04 6.801447e+07 4.773544e+07 0.000000e+00 1.326786e+11 5.852093e+11 1.239977e+03
   1220 1.944327e-03 7.589000e+00 2.770269e+04 6.566320e+07 4.062244e+07 0.000000e+00 1.338442e+11 4.920662e+11 1.228530e+03
   1240 1.973715e-03 7.697000e+00 1.940965e+04 4.854056e+07 3.346695e+07 0.000000e+00 9.370968e+10 4.180457e+11 1.223217e+03
   1260 2.003054e-03 7.836000e+00 1.853328e+04 4.515454e+07 2.407194e+07 0.000000e+00 8.577278e+10 3.837263e+11 1.228906e+03
   1280 2.032382e-03 7.940000e+00 2.418291e+04 4.451711e+07 2.357059e+07 0.000000e+00 1.283600e+11 3.915431e+11 1.248085e+03
   1300 2.061722e-03 8.080000e+00 1.826508e+04 3.941061e+07 2.314958e+07 0.000000e+00 1.081574e+11 3.533128e+11 1.287031e+03
   1320 2.091089e-03 8.201000e+00 1.367793e+04 2.244970e+07 2.476714e+07 0.000000e+00 6.997548e+10 3.164940e+11 1.322213e+03
   1340 2.120491e-03 8.306000e+00 1.325187e+04 1.882482e+07 2.615153e+07 0.000000e+00 6.849654e+10 3.107753e+11 1.346161e+03
   1360 2.149928e-03 8.411000e+00 1.666141e+04 2.959308e+07 2.585138e+07 0.000000e+00 7.994899e+10 3.233255e+11 1.344672e+03
   1380 2.179419e-03 8.528000e+00 1.550745e+04 1.516746e+07 2.642898e+07 0.000000e+00 7.056613e+10 2.917197e+11 1.308929e+03
   1400 2.208985e-03 8.644000e+00 1.603142e+04 1.937831e+07 2.828433e+07 0.000000e+00 7.414766e+10 2.950458e+11 1.250206e+03
   1420 2.238630e-03 8.775000e+00 1.648982e+04 2.783780e+07 2.918438e+07 0.000000e+00 7.749513e+10 2.847159e+11 1.180276e+03
   1440 2.268361e-03 8.912000e+00 1.671689e+04 2.472655e+07 2.924066e+07 0.000000e+00 8.551061e+10 2.813352e+11 1.105461e+03
   1460 2.298193e-03 9.021000e+00 1.752341e+04 2.188295e+07 2.844877e+07 0.000000e+00 7.515985e+10 2.709218e+11 1.037891e+03
   1480 2.328134e-03 9.125000e+00 1.622927e+04 1.827663e+07 2.696141e+07 0.000000e+00 7.429011e+10 2.631299e+11 9.838929e+02
   1500 2.358183e-03 9.230000e+00 1.385370e+04 1.810052e+07 2.506238e+07 0.000000e+00 6.338688e+10 2.473623e+11 9.379857e+02
   1520 2.388339e-03 9.334000e+00 1.366501e+04 1.717053e+07 2.477972e+07 0.000000e+00 6.040482e+10 2.359403e+11 8.944384e+02
   1540 2.418604e-03 9.439000e+00 1.414600e+04 1.520254e+07 2.716271e+07 0.000000e+00 6.598693e+10 2.307300e+11 8.542491e+02
   1560 2.448976e-03 9.545000e+00 1.462974e+04 1.714039e+07 2.569305e+07 0.000000e+00 6.355941e+10 2.145481e+11 8.183204e+02
   1580 2.479451e-03 9.669000e+00 1.508192e+04 2.242169e+07 2.565874e+07 0.000000e+00 6.534148e+10 2.358699e+11 7.855303e+02
   1600 2.510030e-03 9.801000e+00 1.519136e+04 2.084895e+07 2.563288e+07 0.000000e+00 6.582090e+10 2.249565e+11 7.546022e+02
   1620 2.540714e-03 9.905000e+00 1.503591e+04 2.196093e+07 2.521332e+07 0.000000e+00 6.573994e+10 2.153154e+11 7.238538e+02
   1640 2.571512e-03 1.003300e+01 1.494051e+04 2.710102e+07 2.608865e+07 0.000000e+00 7.353532e+10 2.301579e+11 6.935009e+02
   1660 2.602437e-03 1.013600e+01 1.290593e+04 2.144505e+07 2.591500e+07 0.000000e+00 6.843273e+10 1.975795e+11 6.656770e+02
   1680 2.633499e-03 1.024000e+01 1.436923e+04 2.322884e+07 2.512768e+07 0.000000e+00 6.463152e+10 1.907767e+11 6.401170e+02
   1700 2.664703e-03 1.038000e+01 1.195996e+04 2.557694e+07 2.313409e+07 0.000000e+00 5.587234e+10 1.856186e+11 6.163842e+02
   1720 2.696048e-03 1.048500e+01 1.027030e+04 1.770133e+07 1.925302e+07 0.000000e+00 4.406922e+10 1.588988e+11 5.969367e+02
   1740 2.727526e-03 1.072500e+01 8.752076e+03 1.761448e+07 1.543646e+07 0.000000e+00 3.801103e+10 1.538740e+11 5.814551e+02
   1760 2.759123e-03 1.091100e+01 9.198639e+03 1.917485e+07 1.141320e+07 0.000000e+00 4.466429e+10 1.482941e+11 5.673605e+02
   1780 2.790827e-03 1.103000e+01 9.617168e+03 1.876245e+07 1.196020e+07 0.000000e+00 4.567867e+10 1.525584e+11 5.553284e+02
   1800 2.822623e-03 1.113900e+01 1.018565e+04 2.129137e+07 1.237033e+07 0.000000e+00 4.882047e+10 1.586514e+11 5.478454e+02
   1820 2.854496e-03 1.124100e+01 1.025792e+04 2.252719e+07 1.296377e+07 0.000000e+00 4.935924e+10 1.471881e+11 5.451164e+02
   1840 2.886434e-03 1.136400e+01 1.016838e+04 2.331520e+07 1.292343e+07 0.000000e+00 4.893447e+10 1.473816e+11 5.457108e+02
   1860 2.918426e-03 1.148600e+01 9.947586e+03 2.369800e+07 1.348897e+07 0.000000e+00 4.778095e+10 1.495307e+11 5.472328e+02
   1880 2.950462e-03 1.157200e+01 9.411558e+03 2.280180e+07 1.318674e+07 0.000000e+00 4.537505e+10 1.330090e+11 5.492604e+02
   1900 2.982531e-03 1.166000e+01 7.216093e+03 1.759875e+07 1.195308e+07 0.000000e+00 3.421775e+10 1.198801e+11 5.513904e+02
   1920 3.014628e-03 1.179900e+01 6.418588e+03 1.352196e+07 1.219628e+07 0.000000e+00 2.997416e+10 1.102372e+11 5.544470e+02
   1940 3.046746e-03 1.188000e+01 8.520536e+03 2.148086e+07 1.135071e+07 0.000000e+00 4.023643e+10 1.145831e+11 5.588475e+02
   1960 3.078879e-03 1.199500e+01 5.615049e+03 1.333644e+07 1.024024e+07 0.000000e+00 2.552608e+10 1.050477e+11 5.635067e+02
   1980 3.111021e-03 1.209000e+01 5.785636e+03 1.448581e+07 8.627812e+06 0.000000e+00 2.793627e+10 9.994093e+10 5.675495e+02
   2000 3.143169e-03 1.217200e+01 9.974155e+03 2.555940e+07 6.971978e+06 0.000000e+00 4.852187e+10 1.115296e+11 5.701841e+02
   2020 3.175320e-03 1.227200e+01 8.056724e+03 2.064545e+07 5.422945e+06 0.000000e+00 3.858105e+10 1.120926e+11 5.711590e+02
   2040 3.207471e-03 1.237000e+01 6.830566e+03 1.767155e+07 4.010893e+06 0.000000e+00 3.277158e+10 9.660452e+10 5.705675e+02
   2060 3.239620e-03 1.246700e+01 3.882711e+03 1.070344e+07 2.913568e+06 0.000000e+00 1.904903e+10 8.679473e+10 5.684987e+02
   2080 3.271762e-03 1.256700e+01 5.370545e+03 1.286788e+07 2.813265e+06 0.000000e+00 2.726537e+10 9.341510e+10 5.652045e+02
   2100 3.303894e-03 1.266700e+01 5.341038e+03 1.460146e+07 1.499842e+06 0.000000e+00 2.627288e+10 8.669858e+10 5.604919e+02
   2120 3.336015e-03 1.276800e+01 3.120982e+03 8.744789e+06 2.236020e+06 0.000000e+00 1.662093e+10 8.005346e+10 5.539062e+02
   2140 3.368124e-03 1.286900e+01 4.564921e+03 1.000378e+07 1.985241e+06 0.000000e+00 2.152220e+10 8.104318e+10 5.455905e+02
   2160 3.400222e-03 1.296700e+01 4.333109e+03 1.250437e+07 1.506952e+06 0.000000e+00 2.261049e+10 7.868782e+10 5.359764e+02
   2180 3.432310e-03 1.306900e+01 2.958104e+03 8.028821e+06 2.237224e+06 0.000000e+00 1.483971e+10 7.270875e+10 5.254393e+02
   2200 3.464392e-03 1.317000e+01 3.823679e+03 9.447967e+06 1.933320e+06 0.000000e+00 1.878417e+10 7.271973e+10 5.144378e+02
   2220 3.496471e-03 1.327200e+01 2.631306e+03 6.505858e+06 1.707055e+06 0.000000e+00 1.321852e+10 6.648301e+10 5.033550e+02
   2240 3.528550e-03 1.337300e+01 3.091891e+03 9.012397e+06 1.675858e+06 0.000000e+00 1.590255e+10 6.664820e+10 4.924349e+02
   2260 3.560631e-03 1.347400e+01 3.447743e+03 8.454222e+06 1.683475e+06 0.000000e+00 1.736175e+10 6.802398e+10 4.818547e+02
   2280 3.592716e-03 1.357500e+01 2.696759e+03 6.638746e+06 1.547415e+06 0.000000e+00 1.345995e+10 6.244167e+10 4.716889e+02
   2300 3.624807e-03 1.371200e+01 2.802865e+03 6.790986e+06 1.485999e+06 0.000000e+00 1.397694e+10 6.186711e+10 4.617534e+02
   2320 3.656905e-03 1.386200e+01 3.870151e+03 1.040504e+07 1.438986e+06 0.000000e+00 1.886401e+10 6.414109e+10 4.521217e+02
   2340 3.689010e-03 1.400500e+01 2.617640e+03 6.346932e+06 1.389458e+06 0.000000e+00 1.255228e+10 5.906263e+10 4.427758e+02
   2360 3.721122e-03 1.413600e+01 3.128431e+03 8.241000e+06 1.332019e+06 0.000000e+00 1.531166e+10 5.976213e+10 4.337811e+02
   2380 3.753243e-03 1.428300e+01 2.418086e+03 5.910140e+06 1.246628e+06 0.000000e+00 1.170932e+10 5.618864e+10 4.250899e+02
   2400 3.785373e-03 1.440600e+01 2.399129e+03 5.882144e+06 1.134319e+06 0.000000e+00 1.165353e+10 5.497625e+10 4.166330e+02
   2420 3.817513e-03 1.453100e+01 3.104606e+03 8.075084e+06 1.008413e+06 0.000000e+00 1.523546e+10 5.582204e+10 4.085460e+02
   2440 3.849664e-03 1.465700e+01 2.297813e+03 5.617817e+06 8.762957e+05 0.000000e+00 1.113597e+10 5.209112e+10 4.010519e+02
   2460 3.881826e-03 1.478400e+01 1.778194e+03 4.323647e+06 7.548054e+05 0.000000e+00 8.496224e+09 4.978036e+10 3.943129e+02
   2480 3.913999e-03 1.488800e+01 3.131938e+03 8.053384e+06 8.535714e+05 0.000000e+00 1.535524e+10 5.167722e+10 3.882417e+02
   2500 3.946183e-03 1.499600e+01 2.674913e+03 6.579292e+06 8.763358e+05 0.000000e+00 1.298993e+10 5.026673e+10 3.825902e+02
   2520 3.978378e-03 1.509700e+01 1.672994e+03 4.052306e+06 6.288889e+05 0.000000e+00 7.962578e+09 4.674188e+10 3.771547e+02
   2540 4.010584e-03 1.522300e+01 3.097422e+03 7.814142e+06 1.016847e+06 0.000000e+00 1.523058e+10 4.926622e+10 3.718677e+02
   2560 4.042800e-03 1.533500e+01 2.621457e+03 6.491641e+06 8.536427e+05 0.000000e+00 1.281449e+10 4.773739e+10 3.666518e+02
   2580 4.075026e-03 1.544600e+01 1.615658e+03 3.941478e+06 5.664160e+05 0.000000e+00 7.744005e+09 4.435673e+10 3.614409e+02
