1.099888543666193375e+00 9.005300935444068289e-01 9.999636803310438804e-01
9.779562189859162258e-01 3.855378797995134832e-03 4.745709812261670324e-01
7.944649354334084590e-01 8.157896527940522446e-04 3.909970384057713244e-01
7.985859177691415844e+00 2.004902478038713021e+00 4.901350539572677967e+00
7.997414642932858442e+02 3.008323974262578986e+02 5.642650295712852540e+02
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
